
****** PrimeSim HSPICE -- W-2024.09-SP2-2 linux64 (Apr 30 2025 9758346) ******
  
 * hspice options

 ****** circuit name directory
 circuit number to circuit name directory
   number circuitname                     definition         multiplier
        0 main circuit
        1 xnmos.                          abnmos             1.00 
        2 xnmos.xm1.                      sky130_fd_pr__nfet_01v8
                                                                 1.00 
 ******  
 * hspice options

 
 *****************************************************************
 ******  option summary
 ******
 runlvl  = 5         bypass  = 2.0000    
  Opening plot unit= 15
 file=nfetdc.pa0

 ******
 * hspice options

 ****** dc transfer curves tnom=  25.000 temp=  25.000 ******
x

 volt         voltage    current    current    current   
             ng         vg_sense   vd_sense   vs_sense   
  678.60000m  678.6000m    0.         1.8919u    1.8906u 
  680.40000m  680.4000m    0.         1.9585u    1.9571u 
  682.20000m  682.2000m    0.         2.0271u    2.0257u 
  684.00000m  684.0000m    0.         2.0979u    2.0964u 
  685.80000m  685.8000m    0.         2.1708u    2.1693u 
  687.60000m  687.6000m    0.         2.2459u    2.2444u 
  689.40000m  689.4000m    0.         2.3233u    2.3217u 
  691.20000m  691.2000m    0.         2.4031u    2.4014u 
  693.00000m  693.0000m    0.         2.4851u    2.4834u 
  694.80000m  694.8000m    0.         2.5697u    2.5678u 
  696.60000m  696.6000m    0.         2.6567u    2.6548u 
  698.40000m  698.4000m    0.         2.7462u    2.7443u 
  700.20000m  700.2000m    0.         2.8383u    2.8363u 
  702.00000m  702.0000m    0.         2.9331u    2.9310u 
  703.80000m  703.8000m    0.         3.0305u    3.0284u 
  705.60000m  705.6000m    0.         3.1308u    3.1286u 
  707.40000m  707.4000m    0.         3.2338u    3.2315u 
  709.20000m  709.2000m    0.         3.3397u    3.3374u 
  711.00000m  711.0000m    0.         3.4485u    3.4461u 
  712.80000m  712.8000m    0.         3.5604u    3.5579u 
  714.60000m  714.6000m    0.         3.6752u    3.6727u 
  716.40000m  716.4000m    0.         3.7932u    3.7906u 
  718.20000m  718.2000m    0.         3.9143u    3.9116u 
  720.00000m  720.0000m    0.         4.0386u    4.0358u 
  721.80000m  721.8000m    0.         4.1662u    4.1633u 
  723.60000m  723.6000m    0.         4.2971u    4.2942u 
  725.40000m  725.4000m    0.         4.4314u    4.4284u 
  727.20000m  727.2000m    0.         4.5692u    4.5660u 
  729.00000m  729.0000m    0.         4.7104u    4.7072u 
  730.80000m  730.8000m    0.         4.8552u    4.8519u 
  732.60000m  732.6000m    0.         5.0036u    5.0002u 
  734.40000m  734.4000m    0.         5.1557u    5.1521u 
  736.20000m  736.2000m    0.         5.3114u    5.3078u 
  738.00000m  738.0000m    0.         5.4710u    5.4672u 
  739.80000m  739.8000m    0.         5.6343u    5.6305u 
  741.60000m  741.6000m    0.         5.8016u    5.7976u 
  743.40000m  743.4000m    0.         5.9727u    5.9687u 
  745.20000m  745.2000m    0.         6.1479u    6.1437u 
  747.00000m  747.0000m    0.         6.3270u    6.3228u 
  748.80000m  748.8000m    0.         6.5103u    6.5059u 
  750.60000m  750.6000m    0.         6.6976u    6.6931u 
  752.40000m  752.4000m    0.         6.8892u    6.8846u 
  754.20000m  754.2000m    0.         7.0849u    7.0802u 
  756.00000m  756.0000m    0.         7.2849u    7.2801u 
  757.80000m  757.8000m    0.         7.4892u    7.4843u 
  759.60000m  759.6000m    0.         7.6979u    7.6928u 
  761.40000m  761.4000m    0.         7.9109u    7.9057u 
  763.20000m  763.2000m    0.         8.1284u    8.1230u 
  765.00000m  765.0000m    0.         8.3503u    8.3448u 
  766.80000m  766.8000m    0.         8.5768u    8.5711u 
  768.60000m  768.6000m    0.         8.8077u    8.8020u 
  770.40000m  770.4000m    0.         9.0433u    9.0374u 
  772.20000m  772.2000m    0.         9.2834u    9.2774u 
  774.00000m  774.0000m    0.         9.5282u    9.5220u 
  775.80000m  775.8000m    0.         9.7776u    9.7712u 
  777.60000m  777.6000m    0.        10.0317u   10.0252u 
  779.40000m  779.4000m    0.        10.2904u   10.2838u 
  781.20000m  781.2000m    0.        10.5540u   10.5472u 
  783.00000m  783.0000m    0.        10.8222u   10.8153u 
  784.80000m  784.8000m    0.        11.0952u   11.0881u 
  786.60000m  786.6000m    0.        11.3730u   11.3658u 
  788.40000m  788.4000m    0.        11.6556u   11.6482u 
  790.20000m  790.2000m    0.        11.9430u   11.9354u 
  792.00000m  792.0000m    0.        12.2352u   12.2275u 
  793.80000m  793.8000m    0.        12.5322u   12.5243u 
  795.60000m  795.6000m    0.        12.8340u   12.8260u 
  797.40000m  797.4000m    0.        13.1407u   13.1324u 
  799.20000m  799.2000m    0.        13.4521u   13.4437u 
  801.00000m  801.0000m    0.        13.7684u   13.7598u 
  802.80000m  802.8000m    0.        14.0895u   14.0808u 
  804.60000m  804.6000m    0.        14.4154u   14.4065u 
