time,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
6.82800000e-05,1.22904000e-01,4.26504764e-12,7.23305365e-13,1.87392460e-12,3.11442840e-12
6.92800000e-05,1.24704000e-01,4.26397878e-12,7.89999695e-13,1.94501411e-12,3.10896437e-12
7.02800000e-05,1.26504000e-01,4.26288934e-12,8.60383107e-13,2.01989231e-12,3.10338014e-12
7.12800000e-05,1.28304000e-01,4.26195878e-12,9.34679675e-13,2.09873023e-12,3.09790823e-12
7.22800000e-05,1.30104000e-01,4.26100973e-12,1.01308109e-12,2.18177495e-12,3.09231587e-12
7.32800000e-05,1.31904000e-01,4.26022168e-12,1.09583405e-12,2.26922013e-12,3.08683560e-12
7.42800000e-05,1.33704000e-01,4.25941731e-12,1.18315406e-12,2.36133672e-12,3.08123465e-12
7.52800000e-05,1.35504000e-01,4.25877616e-12,1.27531294e-12,2.45834352e-12,3.07574558e-12
7.62800000e-05,1.37304000e-01,4.25812094e-12,1.37255269e-12,2.56053799e-12,3.07013564e-12
7.72800000e-05,1.39104000e-01,4.25763122e-12,1.47517303e-12,2.66816685e-12,3.06463740e-12
7.82800000e-05,1.40904000e-01,4.25712976e-12,1.58344539e-12,2.78155702e-12,3.05901813e-12
7.92800000e-05,1.42704000e-01,4.25679618e-12,1.69770049e-12,2.90098625e-12,3.05351042e-12
8.02800000e-05,1.44504000e-01,4.25645325e-12,1.81824246e-12,3.02681415e-12,3.04788156e-12
8.12800000e-05,1.46304000e-01,4.25628066e-12,1.94543648e-12,3.15935297e-12,3.04236417e-12
8.22800000e-05,1.48104000e-01,4.25610121e-12,2.07962298e-12,3.29899865e-12,3.03672554e-12
8.32800000e-05,1.49904000e-01,4.25609461e-12,2.22120542e-12,3.44610172e-12,3.03119831e-12
8.42800000e-05,1.51704000e-01,4.25608342e-12,2.37056457e-12,3.60109846e-12,3.02554953e-12
8.52800000e-05,1.53504000e-01,4.25624785e-12,2.52814639e-12,3.76438195e-12,3.02001230e-12
8.62800000e-05,1.55304000e-01,4.25641050e-12,2.69437647e-12,3.93643329e-12,3.01435368e-12
8.72800000e-05,1.57104000e-01,4.25675146e-12,2.86974799e-12,4.11769281e-12,3.00880663e-12
8.82800000e-05,1.58904000e-01,4.25709336e-12,3.05473631e-12,4.30869139e-12,3.00313828e-12
8.92800000e-05,1.60704000e-01,4.25761636e-12,3.24988706e-12,4.50992180e-12,2.99758161e-12
9.02800000e-05,1.62504000e-01,4.25814310e-12,3.45573088e-12,4.72197022e-12,2.99190376e-12
9.12800000e-05,1.64304000e-01,4.25885379e-12,3.67287165e-12,4.94538767e-12,2.98633777e-12
9.22800000e-05,1.66104000e-01,4.25957112e-12,3.90190138e-12,5.18082171e-12,2.98065079e-12
9.32800000e-05,1.67904000e-01,4.26047532e-12,4.14348864e-12,5.42888806e-12,2.97507590e-12
9.42800000e-05,1.69704000e-01,4.26138914e-12,4.39829360e-12,5.69030242e-12,2.96938032e-12
9.52800000e-05,1.71504000e-01,4.26249284e-12,4.66705664e-12,5.96575234e-12,2.96379714e-12
9.62800000e-05,1.73304000e-01,4.26360920e-12,4.95051362e-12,6.25602920e-12,2.95809361e-12
9.72800000e-05,1.75104000e-01,4.26491852e-12,5.24948466e-12,6.56190028e-12,2.95250289e-12
9.82800000e-05,1.76904000e-01,4.26624364e-12,5.56478962e-12,6.88424098e-12,2.94679229e-12
9.92800000e-05,1.78704000e-01,4.26776488e-12,5.89733717e-12,7.22390707e-12,2.94119498e-12
1.00280000e-04,1.80504000e-01,4.26930511e-12,6.24804043e-12,7.58186721e-12,2.93547833e-12
1.01280000e-04,1.82304000e-01,4.27104470e-12,6.61790632e-12,7.95907544e-12,2.92987558e-12
1.02280000e-04,1.84104000e-01,4.27280655e-12,7.00795149e-12,8.35660390e-12,2.92415414e-12
1.03280000e-04,1.85904000e-01,4.27477108e-12,7.41929193e-12,8.77551568e-12,2.91854733e-12
1.04280000e-04,1.87704000e-01,4.27676120e-12,7.85305920e-12,9.21699780e-12,2.91282261e-12
1.05280000e-04,1.89504000e-01,4.27895737e-12,8.31049031e-12,9.68223434e-12,2.90721335e-12
1.06280000e-04,1.91304000e-01,4.28118256e-12,8.79284433e-12,1.01725398e-11,2.90148710e-12
1.07280000e-04,1.93104000e-01,4.28361723e-12,9.30149259e-12,1.06892325e-11,2.89587729e-12
1.08280000e-04,1.94904000e-01,4.28608439e-12,9.83783562e-12,1.12337685e-11,2.89015154e-12
1.09280000e-04,1.96704000e-01,4.28876454e-12,1.04033938e-11,1.18076149e-11,2.88454338e-12
