# hostname: saiwaicho
# ngspice: ******
# gmin: 1e-14
# source: nfetdc.cir
# timestamp: 2026-01-24T17:33:51Z
v-sweep,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
1.05000000e-01,1.05000000e-01,-0.00000000e+00,7.68436111e-13,7.40084887e-13,2.83512240e-14
1.06000000e-01,1.06000000e-01,-0.00000000e+00,7.90609387e-13,7.62247645e-13,2.83617418e-14
1.07000000e-01,1.07000000e-01,-0.00000000e+00,8.13446216e-13,7.85073641e-13,2.83725744e-14
1.08000000e-01,1.08000000e-01,-0.00000000e+00,8.36966435e-13,8.08582703e-13,2.83837311e-14
1.09000000e-01,1.09000000e-01,-0.00000000e+00,8.61190472e-13,8.32795251e-13,2.83952218e-14
1.10000000e-01,1.10000000e-01,-0.00000000e+00,8.86139368e-13,8.57732312e-13,2.84070562e-14
1.11000000e-01,1.11000000e-01,-0.00000000e+00,9.11834787e-13,8.83415543e-13,2.84192447e-14
1.12000000e-01,1.12000000e-01,-0.00000000e+00,9.38299044e-13,9.09867246e-13,2.84317980e-14
1.13000000e-01,1.13000000e-01,-0.00000000e+00,9.65555118e-13,9.37110391e-13,2.84447268e-14
1.14000000e-01,1.14000000e-01,-0.00000000e+00,9.93626672e-13,9.65168630e-13,2.84580425e-14
1.15000000e-01,1.15000000e-01,-0.00000000e+00,1.02253808e-12,9.94066322e-13,2.84717565e-14
1.16000000e-01,1.16000000e-01,-0.00000000e+00,1.05231443e-12,1.02382855e-12,2.84858809e-14
1.17000000e-01,1.17000000e-01,-0.00000000e+00,1.08298159e-12,1.05448116e-12,2.85004277e-14
1.18000000e-01,1.18000000e-01,-0.00000000e+00,1.11456615e-12,1.08605074e-12,2.85154098e-14
1.19000000e-01,1.19000000e-01,-0.00000000e+00,1.14709554e-12,1.11856470e-12,2.85308400e-14
1.20000000e-01,1.20000000e-01,-0.00000000e+00,1.18059798e-12,1.15205125e-12,2.85467318e-14
1.21000000e-01,1.21000000e-01,-0.00000000e+00,1.21510255e-12,1.18653945e-12,2.85630989e-14
1.22000000e-01,1.22000000e-01,-0.00000000e+00,1.25063918e-12,1.22205922e-12,2.85799556e-14
1.23000000e-01,1.23000000e-01,-0.00000000e+00,1.28723870e-12,1.25864138e-12,2.85973165e-14
1.24000000e-01,1.24000000e-01,-0.00000000e+00,1.32493286e-12,1.29631766e-12,2.86151966e-14
1.25000000e-01,1.25000000e-01,-0.00000000e+00,1.36375436e-12,1.33512074e-12,2.86336115e-14
1.26000000e-01,1.26000000e-01,-0.00000000e+00,1.40373686e-12,1.37508428e-12,2.86525771e-14
1.27000000e-01,1.27000000e-01,-0.00000000e+00,1.44491505e-12,1.41624294e-12,2.86721098e-14
1.28000000e-01,1.28000000e-01,-0.00000000e+00,1.48732462e-12,1.45863240e-12,2.86922267e-14
1.29000000e-01,1.29000000e-01,-0.00000000e+00,1.53100236e-12,1.50228941e-12,2.87129451e-14
1.30000000e-01,1.30000000e-01,-0.00000000e+00,1.57598612e-12,1.54725184e-12,2.87342830e-14
1.31000000e-01,1.31000000e-01,-0.00000000e+00,1.62231491e-12,1.59355865e-12,2.87562589e-14
1.32000000e-01,1.32000000e-01,-0.00000000e+00,1.67002888e-12,1.64124999e-12,2.87788919e-14
1.33000000e-01,1.33000000e-01,-0.00000000e+00,1.71916938e-12,1.69036718e-12,2.88022015e-14
1.34000000e-01,1.34000000e-01,-0.00000000e+00,1.76977901e-12,1.74095280e-12,2.88262080e-14
1.35000000e-01,1.35000000e-01,-0.00000000e+00,1.82190160e-12,1.79305067e-12,2.88509322e-14
1.36000000e-01,1.36000000e-01,-0.00000000e+00,1.87558234e-12,1.84670594e-12,2.88763955e-14
1.37000000e-01,1.37000000e-01,-0.00000000e+00,1.93086771e-12,1.90196509e-12,2.89026199e-14
1.38000000e-01,1.38000000e-01,-0.00000000e+00,1.98780561e-12,1.95887598e-12,2.89296282e-14
1.39000000e-01,1.39000000e-01,-0.00000000e+00,2.04644535e-12,2.01748790e-12,2.89574438e-14
1.40000000e-01,1.40000000e-01,-0.00000000e+00,2.10683772e-12,2.07785163e-12,2.89860907e-14
1.41000000e-01,1.41000000e-01,-0.00000000e+00,2.16903501e-12,2.14001941e-12,2.90155938e-14
1.42000000e-01,1.42000000e-01,-0.00000000e+00,2.23309107e-12,2.20404509e-12,2.90459786e-14
1.43000000e-01,1.43000000e-01,-0.00000000e+00,2.29906136e-12,2.26998409e-12,2.90772713e-14
1.44000000e-01,1.44000000e-01,-0.00000000e+00,2.36700298e-12,2.33789348e-12,2.91094992e-14
1.45000000e-01,1.45000000e-01,-0.00000000e+00,2.43697473e-12,2.40783204e-12,2.91426901e-14
1.46000000e-01,1.46000000e-01,-0.00000000e+00,2.50903717e-12,2.47986029e-12,2.91768726e-14
1.47000000e-01,1.47000000e-01,-0.00000000e+00,2.58325264e-12,2.55404057e-12,2.92120765e-14
1.48000000e-01,1.48000000e-01,-0.00000000e+00,2.65968536e-12,2.63043703e-12,2.92483321e-14
1.49000000e-01,1.49000000e-01,-0.00000000e+00,2.73840145e-12,2.70911578e-12,2.92856707e-14
1.50000000e-01,1.50000000e-01,-0.00000000e+00,2.81946898e-12,2.79014485e-12,2.93241248e-14
1.51000000e-01,1.51000000e-01,-0.00000000e+00,2.90295806e-12,2.87359433e-12,2.93637276e-14
1.52000000e-01,1.52000000e-01,-0.00000000e+00,2.98894088e-12,2.95953637e-12,2.94045132e-14
1.53000000e-01,1.53000000e-01,-0.00000000e+00,3.07749178e-12,3.04804527e-12,2.94465170e-14
1.54000000e-01,1.54000000e-01,-0.00000000e+00,3.16868731e-12,3.13919753e-12,2.94897752e-14
1.55000000e-01,1.55000000e-01,-0.00000000e+00,3.26260628e-12,3.23307195e-12,2.95343253e-14
1.56000000e-01,1.56000000e-01,-0.00000000e+00,3.35932985e-12,3.32974965e-12,2.95802058e-14
1.57000000e-01,1.57000000e-01,-0.00000000e+00,3.45894161e-12,3.42931415e-12,2.96274562e-14
1.58000000e-01,1.58000000e-01,-0.00000000e+00,3.56152760e-12,3.53185148e-12,2.96761175e-14
1.59000000e-01,1.59000000e-01,-0.00000000e+00,3.66717644e-12,3.63745021e-12,2.97262316e-14
1.60000000e-01,1.60000000e-01,-0.00000000e+00,3.77597937e-12,3.74620153e-12,2.97778418e-14
1.61000000e-01,1.61000000e-01,-0.00000000e+00,3.88803035e-12,3.85819936e-12,2.98309927e-14
1.62000000e-01,1.62000000e-01,-0.00000000e+00,4.00342611e-12,3.97354038e-12,2.98857302e-14
1.63000000e-01,1.63000000e-01,-0.00000000e+00,4.12226626e-12,4.09232416e-12,2.99421015e-14
1.64000000e-01,1.64000000e-01,-0.00000000e+00,4.24465339e-12,4.21465323e-12,3.00001553e-14
1.65000000e-01,1.65000000e-01,-0.00000000e+00,4.37069308e-12,4.34063314e-12,3.00599417e-14
1.66000000e-01,1.66000000e-01,-0.00000000e+00,4.50049411e-12,4.47037259e-12,3.01215122e-14
1.67000000e-01,1.67000000e-01,-0.00000000e+00,4.63416842e-12,4.60398350e-12,3.01849201e-14
1.68000000e-01,1.68000000e-01,-0.00000000e+00,4.77183133e-12,4.74158111e-12,3.02502198e-14
1.69000000e-01,1.69000000e-01,-0.00000000e+00,4.91360153e-12,4.88328406e-12,3.03174679e-14
1.70000000e-01,1.70000000e-01,-0.00000000e+00,5.05960125e-12,5.02921453e-12,3.03867221e-14
1.71000000e-01,1.71000000e-01,-0.00000000e+00,5.20995636e-12,5.17949832e-12,3.04580424e-14
1.72000000e-01,1.72000000e-01,-0.00000000e+00,5.36479644e-12,5.33426495e-12,3.05314900e-14
1.73000000e-01,1.73000000e-01,-0.00000000e+00,5.52425491e-12,5.49364778e-12,3.06071284e-14
1.74000000e-01,1.74000000e-01,-0.00000000e+00,5.68846914e-12,5.65778412e-12,3.06850226e-14
1.75000000e-01,1.75000000e-01,-0.00000000e+00,5.85758059e-12,5.82681535e-12,3.07652397e-14
1.76000000e-01,1.76000000e-01,-0.00000000e+00,6.03173489e-12,6.00088704e-12,3.08478489e-14
1.77000000e-01,1.77000000e-01,-0.00000000e+00,6.21108199e-12,6.18014906e-12,3.09329213e-14
1.78000000e-01,1.78000000e-01,-0.00000000e+00,6.39577627e-12,6.36475574e-12,3.10205300e-14
1.79000000e-01,1.79000000e-01,-0.00000000e+00,6.58597670e-12,6.55486595e-12,3.11107506e-14
1.80000000e-01,1.80000000e-01,-0.00000000e+00,6.78184695e-12,6.75064329e-12,3.12036605e-14
1.81000000e-01,1.81000000e-01,-0.00000000e+00,6.98355550e-12,6.95225616e-12,3.12993399e-14
1.82000000e-01,1.82000000e-01,-0.00000000e+00,7.19127587e-12,7.15987800e-12,3.13978708e-14
1.83000000e-01,1.83000000e-01,-0.00000000e+00,7.40518666e-12,7.37368732e-12,3.14993382e-14
1.84000000e-01,1.84000000e-01,-0.00000000e+00,7.62547178e-12,7.59386796e-12,3.16038291e-14
1.85000000e-01,1.85000000e-01,-0.00000000e+00,7.85232059e-12,7.82060915e-12,3.17114335e-14
1.86000000e-01,1.86000000e-01,-0.00000000e+00,8.08592800e-12,8.05410576e-12,3.18222438e-14
1.87000000e-01,1.87000000e-01,-0.00000000e+00,8.32649473e-12,8.29455838e-12,3.19363551e-14
1.88000000e-01,1.88000000e-01,-0.00000000e+00,8.57422741e-12,8.54217354e-12,3.20538655e-14
1.89000000e-01,1.89000000e-01,-0.00000000e+00,8.82933877e-12,8.79716389e-12,3.21748760e-14
1.90000000e-01,1.90000000e-01,-0.00000000e+00,9.09204782e-12,9.05974833e-12,3.22994903e-14
1.91000000e-01,1.91000000e-01,-0.00000000e+00,9.36258006e-12,9.33015225e-12,3.24278154e-14
1.92000000e-01,1.92000000e-01,-0.00000000e+00,9.64116762e-12,9.60860766e-12,3.25599616e-14
1.93000000e-01,1.93000000e-01,-0.00000000e+00,9.92804950e-12,9.89535346e-12,3.26960420e-14
1.94000000e-01,1.94000000e-01,-0.00000000e+00,1.02234717e-11,1.01906356e-11,3.28361734e-14
1.95000000e-01,1.95000000e-01,-0.00000000e+00,1.05276877e-11,1.04947072e-11,3.29804761e-14
